Accession	Type	Species
GCA_003033925.1	Isolate	serpentiformis
GCA_963543915.1	MAG	forsythia
GCF_000238215.1	Isolate	forsythia
GCF_001006485.1	Isolate	forsythia
GCF_001547855.1	Isolate	forsythia
GCF_001547875.1	Isolate	forsythia
GCF_001938785.1	Isolate	forsythia
GCF_002529085.1	Isolate	forsythia
GCF_002529295.1	Isolate	forsythia
GCF_003860025.1	Isolate	forsythia
GCF_003860135.1	Isolate	forsythia
GCF_006385365.1	Isolate	forsythia
GCF_900096715.1	Isolate	forsythia
GCF_900096725.1	Isolate	forsythia
GCF_900096735.1	Isolate	forsythia
GCF_905373495.1	MAG	forsythia
GCF_938034995.1	MAG	forsythia
GCF_963514485.1	MAG	forsythia
GCF_963517925.1	MAG	forsythia
GCF_963533965.1	MAG	forsythia
GCF_963540305.1	MAG	forsythia
GCF_963542945.1	MAG	forsythia
GCF_963546605.1	MAG	forsythia
GCF_963550365.1	MAG	forsythia
