Sample	Reference	total_mapped_reads
CS11.Tf	forsythia	713569
CS15.Tf	forsythia	789169
CS32.Tf	forsythia	951020
CS33.Tf	forsythia	428302
CS35.Tf	forsythia	911379
CS36.Tf	forsythia	513110
G12.Tf	forsythia	56950
G12_25_2E5_YaleRun1.Tf	forsythia	176952
G12_25_2E6_YaleRun1.Tf	forsythia	55802
G12_25_2E7_YaleRun1.Tf	forsythia	154451
G12_25_2E8_YaleRun1.Tf	forsythia	75770
G12_2E5_YaleRun2.Tf	forsythia	73311
G12_2E6_YaleRun2.Tf	forsythia	33568
G12_2E7_YaleRun2.Tf	forsythia	69036
G12_2E8_YaleRun2.Tf	forsythia	47720
G12_pub.Tf	forsythia	199902
MID067.A0101.Tf	forsythia	401096
MID070.A0101.Tf	forsythia	524198
MID072.A0101.Tf	forsythia	594393
R31.Tf	forsythia	163915
R32A.Tf	forsythia	1128160
R32B.Tf	forsythia	1126631
R33.Tf	forsythia	527633
SMH008.A.Tf	forsythia	674615
SMH008.A0101.Tf	forsythia	4131
SMH008.A0102.Tf	forsythia	674621
G12.Ts	serpentiformis	16449
G12_25_2E5_YaleRun1.Ts	serpentiformis	35771
G12_25_2E6_YaleRun1.Ts	serpentiformis	15870
G12_25_2E7_YaleRun1.Ts	serpentiformis	34473
G12_25_2E8_YaleRun1.Ts	serpentiformis	18584
G12_2E5_YaleRun2.Ts	serpentiformis	14554
G12_2E6_YaleRun2.Ts	serpentiformis	9148
G12_2E7_YaleRun2.Ts	serpentiformis	15734
G12_2E8_YaleRun2.Ts	serpentiformis	12912
G12_pub.Ts	serpentiformis	49336
